# cluster-0 vocabulary, load-bearing study, generated 2026-08-31
# 467387 pull requests, 52506137 words, 602 days
# https://louisabraham.github.io/load-bearing/
# rank	lift	category	word
0	34.26	cut	plainly
1	30.08	cut	quietly
2	29.22	impersonal	nobody
3	28.13	rhetoric	halves
4	23.68	cut	genuinely
5	23.24	rhetoric	survived
6	22.95	coinage	re-derived
7	22.62		handed
8	22.32	cut	outright
9	22.13	impersonal	nowhere
10	22.12	agency	carries
11	21.3	agency	owed
12	21.21	agency	disagreed
13	21.16	figure	rests
14	21.04	impersonal	nothing
15	20.31	figure	drew
16	20.01	cut	deliberately
17	19.95	rhetoric	premise
18	19.86	rhetoric	ruling
19	19.8	figure	rides
20	19.79	agency	asserted
21	19.77	coinage	mutation-checked
22	19.65	rhetoric	load-bearing
23	19.58	rhetoric	asymmetry
24	18.63	rhetoric	worse
25	18.33	figure	beside
26	18.14	rhetoric	refusal
27	18.08	agency	carrying
28	17.72	agency	settles
29	17.53	figure	rung
30	17.46	agency	restated
31	17.25	coinage	pre-fix
32	17.23	cut	genuine
33	16.9	agency	says
34	16.9	agency	holds
35	16.8	tally	eleven
36	16.77	cut	precisely
37	16.59	rhetoric	defect
38	16.23	cut	deliberate
39	16.2	agency	argued
40	16.02	rhetoric	indistinguishable
41	16.02	coinage	mutation-verified
42	15.95	coinage	re-measured
43	15.89	figure	sitting
44	15.81	agency	refused
45	15.61	agency	refuses
46	15.59	rhetoric	half
47	15.33	rhetoric	survives
48	15.28	figure	lever
49	15.2	figure	painted
50	15.2	cut	vacuous
51	15.16	cut	provably
52	15.13	coinage	byte-identical
53	15.09	figure	wedged
54	15.05	agency	carried
55	15.05		measured
56	15.02		whose
57	14.99	coinage	mutation-tested
58	14.99	figure	sits
59	14.92	agency	buys
60	14.8	figure	walked
61	14.8	tally	twelve
62	14.79	figure	died
63	14.65	figure	arms
64	14.51	impersonal	whichever
65	14.5		alone
66	14.42	coinage	bit-identical
67	14.41	agency	judged
68	14.38	figure	vanished
69	14.34	agency	earns
70	14.32	cut	vacuously
71	14.3	impersonal	somebody
72	14.27	cut	merely
73	14.24	agency	refusing
74	14.23	figure	parked
75	14.07	agency	decides
76	13.97	agency	disagree
77	13.89	rhetoric	mattered
78	13.85	coinage	re-verified
79	13.84	rhetoric	refusals
80	13.81	rhetoric	surviving
81	13.74	impersonal	whoever
82	13.7	agency	told
83	13.6	cut	legitimately
84	13.53		reddens
85	13.53	agency	ruled
86	13.38	figure	stranded
87	13.38		ever
88	13.38	rhetoric	opposite
89	13.32	figure	folded
90	13.32	figure	ceiling
91	13.15	agency	settled
92	13.05		spellings
93	12.87	rhetoric	defects
94	12.85		reds
95	12.82	figure	stayed
96	12.78	cut	honest
97	12.77	agency	honoured
98	12.7	figure	arrived
99	12.69	agency	disagreeing
100	12.64	rhetoric	degrades
101	12.57	figure	folds
102	12.54	figure	standing
103	12.5	rhetoric	loud
104	12.48	agency	refuted
105	12.4		bites
106	12.36	agency	priced
107	12.35	coinage	re-derives
108	12.29		invented
109	12.28	agency	asks
110	12.13	rhetoric	worth
111	12.11	agency	held
112	12.11	figure	backstop
113	12.11	agency	admits
114	12.02	agency	answered
115	12.02	rhetoric	inert
116	11.99	rhetoric	untouched
117	11.95	rhetoric	remedy
118	11.92	rhetoric	reproduces
119	11.9	impersonal	neighbours
120	11.83	figure	armed
121	11.83	figure	band
122	11.83	rhetoric	worst
123	11.81	agency	minted
124	11.78		graded
125	11.76		stamped
126	11.74	agency	loses
127	11.63	agency	offered
128	11.62	figure	paints
129	11.51	figure	fired
130	11.5	figure	drove
131	11.39	agency	gained
132	11.39	agency	carry
133	11.36	cut	forever
134	11.35	figure	fell
135	11.34	tally	nine
136	11.34	rhetoric	symptom
137	11.31	agency	beats
138	11.29	agency	outranks
139	11.27	rhetoric	unguarded
140	11.23	agency	declines
141	11.22	rhetoric	ungated
142	11.2	rhetoric	predates
143	11.18	coinage	unit-tested
144	11.16	rhetoric	shortfall
145	11.15	cut	faithful
146	11.08	cut	structurally
147	11.08	figure	arriving
148	11.05		probed
149	11.01	tally	fourth
150	10.98	tally	thirteen
151	10.97	figure	stands
152	10.97		carve-out
153	10.97	figure	apart
154	10.95	figure	hole
155	10.93	tally	fifth
156	10.92	figure	reaches
157	10.89	figure	drawn
158	10.88	agency	disagrees
159	10.82	figure	drifted
160	10.81		filed
161	10.78		never
162	10.76		unrecognised
163	10.71	agency	governs
164	10.71	figure	parks
165	10.7	agency	asked
166	10.68	agency	agrees
167	10.67	figure	seam
168	10.6	agency	cites
169	10.58		retires
170	10.53	figure	draws
171	10.52		flips
172	10.5		sides
173	10.48	figure	straight
174	10.46	agency	withheld
175	10.44	rhetoric	precedent
176	10.44	agency	gains
177	10.42	figure	legs
178	10.42	figure	stood
179	10.4	rhetoric	whole
180	10.39	figure	lands
181	10.37	agency	guessed
182	10.35	agency	reasoned
183	10.34	rhetoric	cheap
184	10.34	rhetoric	falsified
185	10.34	agency	contradicting
186	10.33	figure	machinery
187	10.27		stamps
188	10.23	figure	fires
189	10.2	impersonal	neighbouring
190	10.2	agency	contradicted
191	10.17	coinage	self-heals
192	10.17	figure	widens
193	10.15	rhetoric	neither
194	10.12	tally	fourteen
195	10.12	cut	loudly
196	10.07	figure	wedge
197	10.07	figure	gone
198	10.07	rhetoric	alike
199	10.06	rhetoric	disagreement
200	10.03	agency	pays
201	10.03	agency	restating
202	9.99	figure	travels
203	9.94	agency	settle
204	9.92	figure	ladder
205	9.89	figure	drives
206	9.87	figure	landed
207	9.84	rhetoric	grounds
208	9.84	figure	leg
209	9.78	figure	sit
210	9.78	cut	identically
211	9.77	rhetoric	census
212	9.72	figure	stays
213	9.71	rhetoric	checkable
214	9.7	agency	cited
215	9.69	figure	chokepoint
216	9.68		mid-flight
217	9.66	agency	asserts
218	9.65	coinage	re-read
219	9.64		diffed
220	9.64	rhetoric	judgement
221	9.64	figure	centred
222	9.61		flagging
223	9.61		caught
224	9.57		shipped
225	9.57	cut	honestly
226	9.57	figure	arrives
227	9.55	coinage	root-caused
228	9.53	coinage	re-checked
229	9.5		rather
230	9.49	coinage	re-derive
231	9.49	rhetoric	tally
232	9.47	coinage	byte-identity
233	9.47	rhetoric	twin
234	9.44		scored
235	9.44	figure	swept
236	9.44	rhetoric	prose
237	9.42	figure	froze
238	9.42		threw
239	9.4	agency	honours
240	9.36	coinage	re-reads
241	9.32	cut	exactly
242	9.31		grew
243	9.3		papered
244	9.3	tally	sixteen
245	9.29	figure	widening
246	9.27	tally	eight
247	9.26	rhetoric	idiom
248	9.23	figure	leaves
249	9.18	impersonal	neighbour
250	9.17	rhetoric	consequence
251	9.17	rhetoric	latent
252	9.16	agency	reaped
253	9.16	agency	discharged
254	9.14	agency	spends
255	9.14	agency	swallowed
256	9.12	tally	hundred
257	9.12	agency	argues
258	9.11	figure	resting
259	9.1		fed
260	9.1	cut	empirically
261	9.08	rhetoric	blind
262	9.07	figure	floor
263	9.07	figure	sweep
264	9.04	agency	mints
265	9.02	figure	lives
266	9.02	coinage	unit-testable
267	9.0	rhetoric	hazard
268	9.0	figure	walks
269	8.99		sees
270	8.98	figure	widened
271	8.97	tally	fifteen
272	8.97	agency	reclaims
273	8.96	agency	said
274	8.92	rhetoric	outlives
275	8.92	agency	bought
276	8.91		goldens
277	8.89		behavioural
278	8.84		counted
279	8.83		struck
280	8.83	rhetoric	verbatim
281	8.82	coinage	byte-exact
282	8.81	tally	sixth
283	8.74	agency	drains
284	8.74	figure	fold
285	8.72	figure	lived
286	8.7	agency	asserting
287	8.7	figure	floored
288	8.7	figure	walk
289	8.7		eyeballed
290	8.67	coinage	re-deriving
291	8.66		fabricated
292	8.66	cut	routinely
293	8.65	rhetoric	survive
294	8.61	figure	sat
295	8.58	impersonal	caller
296	8.57	cut	demonstrably
297	8.57		modelled
298	8.57	impersonal	stranger
299	8.57	coinage	re-arms
300	8.57		thirty
301	8.53		silently
302	8.53		recomputed
303	8.52		buried
304	8.52		hand-rolled
305	8.51		promised
306	8.51		obligation
307	8.5		live-verified
308	8.5	agency	declined
309	8.48		came
310	8.47		lone
311	8.46		decisive
312	8.44		keyed
313	8.43		summed
314	8.4		dropped
315	8.4		hung
316	8.38		discards
317	8.36		bite
318	8.35		throwaway
319	8.34		knowing
320	8.31		callee
321	8.29		proved
322	8.28		dies
323	8.28		bare
324	8.27		flipped
325	8.27	tally	seven
326	8.26		torn
327	8.24		crosses
328	8.24	tally	twenty
329	8.24		caveat
330	8.24		faked
331	8.23	tally	five
332	8.23		browser-verified
333	8.22		collapses
334	8.21	tally	six
335	8.21		incl
336	8.19		labelled
337	8.14		wins
338	8.1		outage
339	8.1		predicate
340	8.06		mutant
341	8.06		uncapped
342	8.04	coinage	byte-for-byte
343	8.04		hand-written
344	8.01		holding
345	8.01		answerable
346	7.97	agency	contradicts
347	7.96		lie
348	7.95		red-first
349	7.95		diagnosed
350	7.95	agency	owes
351	7.94		unmeasured
352	7.91		differing
353	7.91		proven
354	7.9		mid-turn
355	7.89		dedupes
356	7.89		answering
357	7.89		unparseable
358	7.88		swallows
359	7.85		misread
